"rental_id"|"rental_date"|"return_date"|"last_updated"|"bookworm_id"|"inventory_id"|"staff_id"
48|"2023-03-27 02:53:21.199441"|"2023-03-27 02:53:21.199441"|"2023-03-27 02:53:21.199442"|229|1749|2
49|"2023-03-27 02:53:21.199466"|"2023-03-27 02:53:21.199466"|"2023-03-27 02:53:21.199466"|177|1998|2
50|"2023-03-27 02:53:21.199495"|"2023-03-27 02:53:21.199496"|"2023-03-27 02:53:21.199496"|302|1096|1
51|"2023-03-27 02:53:21.199507"|"2023-03-27 02:53:21.199508"|"2023-03-27 02:53:21.199508"|420|2170|1
52|"2023-03-27 02:53:21.199521"|"2023-03-27 02:53:21.199522"|"2023-03-27 02:53:21.199522"|313|153|1
53|"2023-03-27 02:53:21.199547"|"2023-03-27 02:53:21.199547"|"2023-03-27 02:53:21.199547"|523|2284|1
54|"2023-03-27 02:53:21.199556"|"2023-03-27 02:53:21.199557"|"2023-03-27 02:53:21.199557"|68|664|1
55|"2023-03-27 02:53:21.199566"|"2023-03-27 02:53:21.199567"|"2023-03-27 02:53:21.199567"|98|400|1
56|"2023-03-27 02:53:21.199576"|"2023-03-27 02:53:21.199576"|"2023-03-27 02:53:21.199577"|40|2370|2
57|"2023-03-27 02:53:21.199586"|"2023-03-27 02:53:21.199586"|"2023-03-27 02:53:21.199586"|130|2542|1
58|"2023-03-27 02:53:21.199595"|"2023-03-27 02:53:21.199596"|"2023-03-27 02:53:21.199596"|547|2395|1
59|"2023-03-27 02:53:21.199605"|"2023-03-27 02:53:21.199605"|"2023-03-27 02:53:21.199606"|176|2046|2
60|"2023-03-27 02:53:21.199615"|"2023-03-27 02:53:21.199615"|"2023-03-27 02:53:21.199615"|58|760|1
61|"2023-03-27 02:53:21.199625"|"2023-03-27 02:53:21.199625"|"2023-03-27 02:53:21.199625"|154|1938|2
62|"2023-03-27 02:53:21.199638"|"2023-03-27 02:53:21.199639"|"2023-03-27 02:53:21.199639"|77|2209|2
63|"2023-03-27 02:53:21.199648"|"2023-03-27 02:53:21.199648"|"2023-03-27 02:53:21.199649"|152|696|1
64|"2023-03-27 02:53:21.199658"|"2023-03-27 02:53:21.199658"|"2023-03-27 02:53:21.199658"|540|313|1
65|"2023-03-27 02:53:21.199668"|"2023-03-27 02:53:21.199668"|"2023-03-27 02:53:21.199668"|480|1733|2
66|"2023-03-27 02:53:21.199677"|"2023-03-27 02:53:21.199678"|"2023-03-27 02:53:21.199678"|578|903|2
67|"2023-03-27 02:53:21.199687"|"2023-03-27 02:53:21.199688"|"2023-03-27 02:53:21.199688"|31|2873|2
68|"2023-03-27 02:53:21.199697"|"2023-03-27 02:53:21.199697"|"2023-03-27 02:53:21.199698"|122|1473|2
69|"2023-03-27 02:53:21.199707"|"2023-03-27 02:53:21.199707"|"2023-03-27 02:53:21.199708"|336|2724|2
70|"2023-03-27 02:53:21.199716"|"2023-03-27 02:53:21.199717"|"2023-03-27 02:53:21.199717"|426|852|1
71|"2023-03-27 02:53:21.199726"|"2023-03-27 02:53:21.199727"|"2023-03-27 02:53:21.199727"|162|2640|1
72|"2023-03-27 02:53:21.199736"|"2023-03-27 02:53:21.199737"|"2023-03-27 02:53:21.199737"|24|2140|2
73|"2023-03-27 02:53:21.199747"|"2023-03-27 02:53:21.199747"|"2023-03-27 02:53:21.199747"|29|1213|2
74|"2023-03-27 02:53:21.199756"|"2023-03-27 02:53:21.199757"|"2023-03-27 02:53:21.199757"|192|949|1
75|"2023-03-27 02:53:21.199766"|"2023-03-27 02:53:21.199767"|"2023-03-27 02:53:21.199767"|91|2068|1
76|"2023-03-27 02:53:21.199776"|"2023-03-27 02:53:21.199776"|"2023-03-27 02:53:21.199777"|30|396|1
77|"2023-03-27 02:53:21.199787"|"2023-03-27 02:53:21.199788"|"2023-03-27 02:53:21.199788"|8|946|2
78|"2023-03-27 02:53:21.199797"|"2023-03-27 02:53:21.199798"|"2023-03-27 02:53:21.199798"|209|1749|2
79|"2023-03-27 02:53:21.199807"|"2023-03-27 02:53:21.199808"|"2023-03-27 02:53:21.199808"|219|2864|1
80|"2023-03-27 02:53:21.199817"|"2023-03-27 02:53:21.199817"|"2023-03-27 02:53:21.199818"|73|1075|1
81|"2023-03-27 02:53:21.199855"|"2023-03-27 02:53:21.199856"|"2023-03-27 02:53:21.199856"|88|2908|1
82|"2023-03-27 02:53:21.199867"|"2023-03-27 02:53:21.199868"|"2023-03-27 02:53:21.199868"|51|2573|1
83|"2023-03-27 02:53:21.199877"|"2023-03-27 02:53:21.199878"|"2023-03-27 02:53:21.199878"|97|2501|1
84|"2023-03-27 02:53:21.199887"|"2023-03-27 02:53:21.199888"|"2023-03-27 02:53:21.199888"|589|1775|1
85|"2023-03-27 02:53:21.199897"|"2023-03-27 02:53:21.199897"|"2023-03-27 02:53:21.199898"|97|2843|2
86|"2023-03-27 02:53:21.199906"|"2023-03-27 02:53:21.199907"|"2023-03-27 02:53:21.199907"|416|1222|2
87|"2023-03-27 02:53:21.199916"|"2023-03-27 02:53:21.199917"|"2023-03-27 02:53:21.199917"|278|1510|1
88|"2023-03-27 02:53:21.199926"|"2023-03-27 02:53:21.199927"|"2023-03-27 02:53:21.199927"|114|1119|1
89|"2023-03-27 02:53:21.199936"|"2023-03-27 02:53:21.199937"|"2023-03-27 02:53:21.199937"|145|1501|1
90|"2023-03-27 02:53:21.199946"|"2023-03-27 02:53:21.199946"|"2023-03-27 02:53:21.199947"|27|624|2
91|"2023-03-27 02:53:21.199955"|"2023-03-27 02:53:21.199956"|"2023-03-27 02:53:21.199956"|55|1891|2
92|"2023-03-27 02:53:21.199965"|"2023-03-27 02:53:21.199966"|"2023-03-27 02:53:21.199966"|304|2942|1
93|"2023-03-27 02:53:21.199995"|"2023-03-27 02:53:21.199995"|"2023-03-27 02:53:21.199996"|351|2545|1
94|"2023-03-27 02:53:21.200007"|"2023-03-27 02:53:21.200008"|"2023-03-27 02:53:21.200008"|579|595|2
95|"2023-03-27 02:53:21.200032"|"2023-03-27 02:53:21.200033"|"2023-03-27 02:53:21.200033"|159|503|1
96|"2023-03-27 02:53:21.200042"|"2023-03-27 02:53:21.200042"|"2023-03-27 02:53:21.200043"|185|45|1
97|"2023-03-27 02:53:21.200052"|"2023-03-27 02:53:21.200052"|"2023-03-27 02:53:21.200052"|445|2745|1
98|"2023-03-27 02:53:21.200062"|"2023-03-27 02:53:21.200062"|"2023-03-27 02:53:21.200062"|549|929|2
99|"2023-03-27 02:53:21.200071"|"2023-03-27 02:53:21.200072"|"2023-03-27 02:53:21.200072"|204|2330|1
100|"2023-03-27 02:53:21.200081"|"2023-03-27 02:53:21.200082"|"2023-03-27 02:53:21.200082"|220|1584|1
101|"2023-03-27 02:53:21.200091"|"2023-03-27 02:53:21.200092"|"2023-03-27 02:53:21.200092"|158|1326|1
102|"2023-03-27 02:53:21.200101"|"2023-03-27 02:53:21.200101"|"2023-03-27 02:53:21.200101"|244|646|1
103|"2023-03-27 02:53:21.200111"|"2023-03-27 02:53:21.200111"|"2023-03-27 02:53:21.200111"|79|207|2
104|"2023-03-27 02:53:21.200120"|"2023-03-27 02:53:21.200121"|"2023-03-27 02:53:21.200121"|107|579|1
105|"2023-03-27 02:53:21.200130"|"2023-03-27 02:53:21.200131"|"2023-03-27 02:53:21.200131"|244|789|1
106|"2023-03-27 02:53:21.200140"|"2023-03-27 02:53:21.200140"|"2023-03-27 02:53:21.200141"|533|2281|2
107|"2023-03-27 02:53:21.200150"|"2023-03-27 02:53:21.200150"|"2023-03-27 02:53:21.200150"|360|600|2
108|"2023-03-27 02:53:21.200159"|"2023-03-27 02:53:21.200160"|"2023-03-27 02:53:21.200160"|436|1645|2
109|"2023-03-27 02:53:21.200169"|"2023-03-27 02:53:21.200169"|"2023-03-27 02:53:21.200169"|27|1489|1
110|"2023-03-27 02:53:21.200178"|"2023-03-27 02:53:21.200179"|"2023-03-27 02:53:21.200179"|201|2560|1
111|"2023-03-27 02:53:21.200188"|"2023-03-27 02:53:21.200188"|"2023-03-27 02:53:21.200189"|593|2910|2
112|"2023-03-27 02:53:21.200198"|"2023-03-27 02:53:21.200198"|"2023-03-27 02:53:21.200198"|29|2443|1
113|"2023-03-27 02:53:21.200208"|"2023-03-27 02:53:21.200208"|"2023-03-27 02:53:21.200208"|273|2836|2
114|"2023-03-27 02:53:21.200217"|"2023-03-27 02:53:21.200218"|"2023-03-27 02:53:21.200218"|315|2739|2
115|"2023-03-27 02:53:21.200227"|"2023-03-27 02:53:21.200228"|"2023-03-27 02:53:21.200228"|284|1754|1
116|"2023-03-27 02:53:21.200237"|"2023-03-27 02:53:21.200237"|"2023-03-27 02:53:21.200238"|186|1111|2
117|"2023-03-27 02:53:21.200247"|"2023-03-27 02:53:21.200248"|"2023-03-27 02:53:21.200248"|512|159|2
118|"2023-03-27 02:53:21.200257"|"2023-03-27 02:53:21.200257"|"2023-03-27 02:53:21.200258"|355|944|2
119|"2023-03-27 02:53:21.200267"|"2023-03-27 02:53:21.200267"|"2023-03-27 02:53:21.200267"|409|896|1
120|"2023-03-27 02:53:21.200276"|"2023-03-27 02:53:21.200277"|"2023-03-27 02:53:21.200277"|583|1007|2
121|"2023-03-27 02:53:21.200286"|"2023-03-27 02:53:21.200286"|"2023-03-27 02:53:21.200287"|540|2962|1
122|"2023-03-27 02:53:21.200295"|"2023-03-27 02:53:21.200296"|"2023-03-27 02:53:21.200296"|484|494|1
123|"2023-03-27 02:53:21.200306"|"2023-03-27 02:53:21.200306"|"2023-03-27 02:53:21.200306"|375|1788|2
124|"2023-03-27 02:53:21.200315"|"2023-03-27 02:53:21.200316"|"2023-03-27 02:53:21.200316"|344|390|1
125|"2023-03-27 02:53:21.200326"|"2023-03-27 02:53:21.200326"|"2023-03-27 02:53:21.200326"|221|2864|2
126|"2023-03-27 02:53:21.200335"|"2023-03-27 02:53:21.200336"|"2023-03-27 02:53:21.200336"|588|2479|2
127|"2023-03-27 02:53:21.200345"|"2023-03-27 02:53:21.200345"|"2023-03-27 02:53:21.200346"|3|2121|1
128|"2023-03-27 02:53:21.200355"|"2023-03-27 02:53:21.200355"|"2023-03-27 02:53:21.200355"|484|2878|1
129|"2023-03-27 02:53:21.200365"|"2023-03-27 02:53:21.200366"|"2023-03-27 02:53:21.200366"|213|2712|1
130|"2023-03-27 02:53:21.200375"|"2023-03-27 02:53:21.200376"|"2023-03-27 02:53:21.200376"|204|878|1
131|"2023-03-27 02:53:21.200385"|"2023-03-27 02:53:21.200385"|"2023-03-27 02:53:21.200386"|17|159|2
132|"2023-03-27 02:53:21.200395"|"2023-03-27 02:53:21.200395"|"2023-03-27 02:53:21.200395"|215|2162|2
133|"2023-03-27 02:53:21.200404"|"2023-03-27 02:53:21.200405"|"2023-03-27 02:53:21.200405"|509|2732|1
134|"2023-03-27 02:53:21.200414"|"2023-03-27 02:53:21.200414"|"2023-03-27 02:53:21.200415"|530|2534|1
135|"2023-03-27 02:53:21.200424"|"2023-03-27 02:53:21.200424"|"2023-03-27 02:53:21.200424"|121|3097|2
136|"2023-03-27 02:53:21.200433"|"2023-03-27 02:53:21.200434"|"2023-03-27 02:53:21.200434"|169|55|1
137|"2023-03-27 02:53:21.200462"|"2023-03-27 02:53:21.200462"|"2023-03-27 02:53:21.200463"|65|250|1
138|"2023-03-27 02:53:21.200474"|"2023-03-27 02:53:21.200474"|"2023-03-27 02:53:21.200475"|112|2478|1
139|"2023-03-27 02:53:21.200486"|"2023-03-27 02:53:21.200487"|"2023-03-27 02:53:21.200487"|414|235|1
140|"2023-03-27 02:53:21.200499"|"2023-03-27 02:53:21.200499"|"2023-03-27 02:53:21.200500"|409|1672|2
141|"2023-03-27 02:53:21.200523"|"2023-03-27 02:53:21.200524"|"2023-03-27 02:53:21.200524"|35|891|1
142|"2023-03-27 02:53:21.200567"|"2023-03-27 02:53:21.200567"|"2023-03-27 02:53:21.200567"|176|2917|1
143|"2023-03-27 02:53:21.200576"|"2023-03-27 02:53:21.200577"|"2023-03-27 02:53:21.200577"|462|2206|2
144|"2023-03-27 02:53:21.200587"|"2023-03-27 02:53:21.200587"|"2023-03-27 02:53:21.200587"|113|1082|2
145|"2023-03-27 02:53:21.200597"|"2023-03-27 02:53:21.200597"|"2023-03-27 02:53:21.200597"|87|698|1
146|"2023-03-27 02:53:21.200626"|"2023-03-27 02:53:21.200627"|"2023-03-27 02:53:21.200627"|366|223|2
147|"2023-03-27 02:53:21.200638"|"2023-03-27 02:53:21.200639"|"2023-03-27 02:53:21.200639"|442|1820|2
148|"2023-03-27 02:53:21.200651"|"2023-03-27 02:53:21.200651"|"2023-03-27 02:53:21.200652"|74|1030|1
149|"2023-03-27 02:53:21.200663"|"2023-03-27 02:53:21.200664"|"2023-03-27 02:53:21.200664"|547|2255|1
150|"2023-03-27 02:53:21.200676"|"2023-03-27 02:53:21.200676"|"2023-03-27 02:53:21.200677"|221|1096|2
151|"2023-03-27 02:53:21.200688"|"2023-03-27 02:53:21.200688"|"2023-03-27 02:53:21.200689"|557|2118|2
152|"2023-03-27 02:53:21.200700"|"2023-03-27 02:53:21.200700"|"2023-03-27 02:53:21.200701"|357|1670|2
153|"2023-03-27 02:53:21.200712"|"2023-03-27 02:53:21.200713"|"2023-03-27 02:53:21.200713"|25|2859|2
154|"2023-03-27 02:53:21.200725"|"2023-03-27 02:53:21.200725"|"2023-03-27 02:53:21.200725"|72|1851|2
155|"2023-03-27 02:53:21.200737"|"2023-03-27 02:53:21.200738"|"2023-03-27 02:53:21.200738"|417|72|2
156|"2023-03-27 02:53:21.200751"|"2023-03-27 02:53:21.200751"|"2023-03-27 02:53:21.200751"|367|366|2
157|"2023-03-27 02:53:21.200764"|"2023-03-27 02:53:21.200764"|"2023-03-27 02:53:21.200765"|172|2248|2
158|"2023-03-27 02:53:21.200776"|"2023-03-27 02:53:21.200777"|"2023-03-27 02:53:21.200777"|143|614|2
159|"2023-03-27 02:53:21.200789"|"2023-03-27 02:53:21.200789"|"2023-03-27 02:53:21.200790"|266|1996|2
160|"2023-03-27 02:53:21.200801"|"2023-03-27 02:53:21.200802"|"2023-03-27 02:53:21.200802"|291|1444|2
161|"2023-03-27 02:53:21.200832"|"2023-03-27 02:53:21.200832"|"2023-03-27 02:53:21.200833"|306|1630|2
162|"2023-03-27 02:53:21.200847"|"2023-03-27 02:53:21.200847"|"2023-03-27 02:53:21.200848"|408|3006|2
163|"2023-03-27 02:53:21.200860"|"2023-03-27 02:53:21.200860"|"2023-03-27 02:53:21.200861"|173|2370|1
164|"2023-03-27 02:53:21.200872"|"2023-03-27 02:53:21.200873"|"2023-03-27 02:53:21.200873"|531|2154|2
165|"2023-03-27 02:53:21.200885"|"2023-03-27 02:53:21.200885"|"2023-03-27 02:53:21.200886"|320|1093|1
166|"2023-03-27 02:53:21.200897"|"2023-03-27 02:53:21.200898"|"2023-03-27 02:53:21.200898"|532|391|2
167|"2023-03-27 02:53:21.200910"|"2023-03-27 02:53:21.200910"|"2023-03-27 02:53:21.200911"|131|448|1
168|"2023-03-27 02:53:21.200923"|"2023-03-27 02:53:21.200923"|"2023-03-27 02:53:21.200924"|470|2440|1
169|"2023-03-27 02:53:21.200935"|"2023-03-27 02:53:21.200936"|"2023-03-27 02:53:21.200936"|307|605|2
170|"2023-03-27 02:53:21.200968"|"2023-03-27 02:53:21.200969"|"2023-03-27 02:53:21.200969"|163|2395|2
171|"2023-03-27 02:53:21.200983"|"2023-03-27 02:53:21.200983"|"2023-03-27 02:53:21.200984"|352|2081|1
172|"2023-03-27 02:53:21.200998"|"2023-03-27 02:53:21.200998"|"2023-03-27 02:53:21.200999"|331|2242|1
173|"2023-03-27 02:53:21.201012"|"2023-03-27 02:53:21.201013"|"2023-03-27 02:53:21.201013"|241|3072|1
174|"2023-03-27 02:53:21.201040"|"2023-03-27 02:53:21.201040"|"2023-03-27 02:53:21.201041"|11|709|1
175|"2023-03-27 02:53:21.201052"|"2023-03-27 02:53:21.201053"|"2023-03-27 02:53:21.201053"|119|2999|1
176|"2023-03-27 02:53:21.201077"|"2023-03-27 02:53:21.201078"|"2023-03-27 02:53:21.201078"|309|2765|1
177|"2023-03-27 02:53:21.201087"|"2023-03-27 02:53:21.201088"|"2023-03-27 02:53:21.201088"|261|3019|2
178|"2023-03-27 02:53:21.201097"|"2023-03-27 02:53:21.201098"|"2023-03-27 02:53:21.201098"|25|728|2
179|"2023-03-27 02:53:21.201108"|"2023-03-27 02:53:21.201108"|"2023-03-27 02:53:21.201108"|306|2517|2
180|"2023-03-27 02:53:21.201118"|"2023-03-27 02:53:21.201119"|"2023-03-27 02:53:21.201119"|303|1392|2
181|"2023-03-27 02:53:21.201128"|"2023-03-27 02:53:21.201129"|"2023-03-27 02:53:21.201129"|270|1727|1
182|"2023-03-27 02:53:21.201138"|"2023-03-27 02:53:21.201139"|"2023-03-27 02:53:21.201139"|142|1757|1
183|"2023-03-27 02:53:21.201148"|"2023-03-27 02:53:21.201148"|"2023-03-27 02:53:21.201149"|238|1863|1
184|"2023-03-27 02:53:21.201158"|"2023-03-27 02:53:21.201159"|"2023-03-27 02:53:21.201159"|373|2089|1
185|"2023-03-27 02:53:21.201168"|"2023-03-27 02:53:21.201169"|"2023-03-27 02:53:21.201169"|536|1598|1
186|"2023-03-27 02:53:21.201178"|"2023-03-27 02:53:21.201179"|"2023-03-27 02:53:21.201179"|491|1747|2
187|"2023-03-27 02:53:21.201188"|"2023-03-27 02:53:21.201188"|"2023-03-27 02:53:21.201189"|318|710|2
188|"2023-03-27 02:53:21.201198"|"2023-03-27 02:53:21.201198"|"2023-03-27 02:53:21.201198"|368|1148|1
189|"2023-03-27 02:53:21.201208"|"2023-03-27 02:53:21.201208"|"2023-03-27 02:53:21.201208"|380|1630|2
190|"2023-03-27 02:53:21.201217"|"2023-03-27 02:53:21.201218"|"2023-03-27 02:53:21.201218"|371|3014|1
191|"2023-03-27 02:53:21.201227"|"2023-03-27 02:53:21.201228"|"2023-03-27 02:53:21.201228"|564|2250|1
192|"2023-03-27 02:53:21.201257"|"2023-03-27 02:53:21.201257"|"2023-03-27 02:53:21.201258"|140|945|1
193|"2023-03-27 02:53:21.201270"|"2023-03-27 02:53:21.201270"|"2023-03-27 02:53:21.201271"|64|822|1
194|"2023-03-27 02:53:21.201283"|"2023-03-27 02:53:21.201283"|"2023-03-27 02:53:21.201283"|541|731|2
195|"2023-03-27 02:53:21.201317"|"2023-03-27 02:53:21.201317"|"2023-03-27 02:53:21.201318"|142|462|1
196|"2023-03-27 02:53:21.201346"|"2023-03-27 02:53:21.201347"|"2023-03-27 02:53:21.201347"|447|878|2
197|"2023-03-27 02:53:21.201359"|"2023-03-27 02:53:21.201360"|"2023-03-27 02:53:21.201361"|395|437|1
198|"2023-03-27 02:53:21.201373"|"2023-03-27 02:53:21.201374"|"2023-03-27 02:53:21.201375"|161|2662|1
199|"2023-03-27 02:53:21.201387"|"2023-03-27 02:53:21.201387"|"2023-03-27 02:53:21.201388"|176|2606|1
200|"2023-03-27 02:53:21.201411"|"2023-03-27 02:53:21.201412"|"2023-03-27 02:53:21.201412"|150|2374|1
201|"2023-03-27 02:53:21.201441"|"2023-03-27 02:53:21.201442"|"2023-03-27 02:53:21.201442"|191|2305|1
202|"2023-03-27 02:53:21.201454"|"2023-03-27 02:53:21.201455"|"2023-03-27 02:53:21.201455"|483|1304|2
203|"2023-03-27 02:53:21.201486"|"2023-03-27 02:53:21.201487"|"2023-03-27 02:53:21.201487"|111|1035|2
204|"2023-03-27 02:53:21.201502"|"2023-03-27 02:53:21.201503"|"2023-03-27 02:53:21.201503"|300|2504|2
205|"2023-03-27 02:53:21.201518"|"2023-03-27 02:53:21.201518"|"2023-03-27 02:53:21.201519"|501|2548|2
206|"2023-03-27 02:53:21.201534"|"2023-03-27 02:53:21.201535"|"2023-03-27 02:53:21.201535"|187|706|2
207|"2023-03-27 02:53:21.201551"|"2023-03-27 02:53:21.201552"|"2023-03-27 02:53:21.201552"|560|531|1
208|"2023-03-27 02:53:21.201567"|"2023-03-27 02:53:21.201568"|"2023-03-27 02:53:21.201568"|272|2048|1
209|"2023-03-27 02:53:21.201585"|"2023-03-27 02:53:21.201586"|"2023-03-27 02:53:21.201586"|420|1796|1
210|"2023-03-27 02:53:21.201627"|"2023-03-27 02:53:21.201627"|"2023-03-27 02:53:21.201628"|572|286|1
211|"2023-03-27 02:53:21.201637"|"2023-03-27 02:53:21.201638"|"2023-03-27 02:53:21.201638"|399|944|2
212|"2023-03-27 02:53:21.201647"|"2023-03-27 02:53:21.201648"|"2023-03-27 02:53:21.201648"|258|2927|1
213|"2023-03-27 02:53:21.201658"|"2023-03-27 02:53:21.201658"|"2023-03-27 02:53:21.201659"|344|1404|2
214|"2023-03-27 02:53:21.201668"|"2023-03-27 02:53:21.201669"|"2023-03-27 02:53:21.201669"|104|538|2
215|"2023-03-27 02:53:21.201679"|"2023-03-27 02:53:21.201679"|"2023-03-27 02:53:21.201680"|137|1335|1
216|"2023-03-27 02:53:21.201689"|"2023-03-27 02:53:21.201690"|"2023-03-27 02:53:21.201690"|540|396|1
217|"2023-03-27 02:53:21.201701"|"2023-03-27 02:53:21.201701"|"2023-03-27 02:53:21.201701"|375|1148|2
218|"2023-03-27 02:53:21.201711"|"2023-03-27 02:53:21.201711"|"2023-03-27 02:53:21.201712"|494|112|2
219|"2023-03-27 02:53:21.201721"|"2023-03-27 02:53:21.201721"|"2023-03-27 02:53:21.201722"|256|732|1
220|"2023-03-27 02:53:21.201731"|"2023-03-27 02:53:21.201732"|"2023-03-27 02:53:21.201732"|287|776|2
221|"2023-03-27 02:53:21.201741"|"2023-03-27 02:53:21.201742"|"2023-03-27 02:53:21.201742"|358|2574|2
